MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
"210Datum","00480","(\d\d?)(\.|-|/)(\w+)(\.|-|/)(\d\d)",,"MMDDYY",,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"220Datum","00500","\b(\d\d?)[/](\d{4})\b",,"MMYYYY",,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"220Datum","00510","\b(\d\d?)[/](\d\d)\b",,"MMYY",,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"250Datum","00010","\b19\d\d\b",,"YYYY",,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"250Datum","00020","\b20\d\d\b",,"YYYY",,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"250Datum","00030","20\d\d(.|-)?\d\d(.|-)?\d\d",,"YYYYMMDD",,,2005,9999,"2011-05-04 00:00:00","larjoha",,,,,
"300Status","0010","[(|§]?chronic[)|§]?","§Chronic§",,,,2005,9999,"2011-04-02 00:00:00","larjoha",,,,,
"300Status","0015","\bchron\b","§Chronic§",,,,2005,9999,"2011-04-02 00:00:00","larjoha",,,,,
"300Status","0020","[(|§]?acute[)|§]?","§Acute§",,,,2005,9999,"2011-04-13 00:00:00","larjoha",,,,,
"300Status","0030","[(|§]?congenital[)|§]?","§Congenital§",,,,2005,9999,"2010-08-19 00:00:00","Witting",,,,,
"300Status","0040","[(|§]?sequel(ae)?[)|§]?","§Sequel§",,,,2005,9999,"2010-08-19 00:00:00","Witting",,,,,
"300Status","0050","[(|§]?immediately[)|§]?","§Acute§",,,,2005,9999,"2011-04-13 00:00:00","larjoha",,,,,
"650Duration","00030","\b(\d\d?)sec\.","§$1Minutes§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"650Duration","00040","\b(\d\d?)min\.","§$1Minutes§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00009","(\b(for|since))?\smany\syear(s)?\b","§20Years§",,,,2005,9999,"2011-05-04 00:00:00","larjoha",,,,,
"660Duration","00010","\byear(s)?\b","§2Years§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00020","\bmonth(s)?\b","§2Month§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00030","\bweek(s)?\b","§2Weeks§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00039","\b(for)?\s?a?\s?few\sday(s)?\b","§2Days§",,,,2005,9999,"2011-02-03 00:00:00","larjoha",,,,,
"660Duration","00040","\bday(s)?\b","§2Days§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00050","\bhour(s)?\b","§2Hours§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"660Duration","00060","\bminute(s)?\b","§2Minutes§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"670DurationAdd","0010","\bsince\s§(\d\d?)Years§","§$1Years§",,,,2005,9999,"2011-05-03 00:00:00","larjoha",,,,,
"RTPDuration","010","CLINICAL HISTORY OF",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","020","LONG HISTORY OF","§Chronic§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","030","PAST HISTORY OF","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","040","POST HISTORY OF","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","050","CLINICAL HX OF",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","060","LATE SEQUELAE","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","070","LATE EFFECTS","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","080","PAST HISTORY","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","090","SEQUELAE OF","§Sequel§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","100","PRIOR HX",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"RTPDuration","110","PRIOR HISTORY",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
