IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I691",,"I6910",,,"USCreated","Sequelae of multiple intracerebral hemorrhage","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I691",,"I6919",,,"USCreated","Sequelae of intracerebral hemorrhage","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6910",,"I6910",,,"Before","Sequelae of multiple intracerebral hemorrhage","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6919",,"I6919",,,"Before","Sequelae of intracerebral hemorrhage","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I693",,"I6939",,,"USCreated","Sequelae of cerebral infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I693",,"I6930",,,"USCreated","Sequelae of multiple cerebral infarctions","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6930",,"I6930",,,"Before","Sequelae of multiple cerebral infarctions","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6939",,"I6939",,,"Before","Sequelae of cerebral infarction","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I694",,"I6940",,,"USCreated","Sequelae of multiple strokes, not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I694",,"I6949",,,"USCreated","Sequelae of stroke, not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6940",,"I6940",,,"Before","Sequelae of multiple strokes, not specified as hemorrhage or infarction","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6949",,"I6949",,,"Before","Sequelae of stroke, not specified as hemorrhage or infarction","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"J101",,"J1010",,,"USCreated","Influenza with other respiratory manifestations, virus identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J101",,"J1019",,,"USCreated","Influenza without specified respiratory manifestations, virus identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J1010",,"J1010",,,"Before","Influenza with other respiratory manifestations, virus identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J1019",,"J1019",,,"Before","Influenza without specified respiratory manifestations, virus identified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"J111",,"J1110",,,"USCreated","Influenza with other respiratory manifestations, virus not identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J111",,"J1119",,,"USCreated","Influenza without other specified respiratory manifestations, virus not identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J1110",,"J1110",,,"Before","Influenza with other respiratory manifestations, virus not identified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J1119",,"J1119",,,"Before","Influenza without other specified respiratory manifestations, virus not identified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"J849",,"J8499",,,"USCreated","Interstitial pulmonary disease, unspecified","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-12 00:00:00","Freddy","Desicion by Table Group(TG2015_009)"
"J849",,"J8490",,,"USCreated","Interstitial pneumonia, not elsewhere classified","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-12 00:00:00","Freddy","Desicion by Table Group(TG2015_009)"
"J8490",,"J8490",,,"Before","Interstitial pneumonia, not elsewhere classified","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-12 00:00:00","Freddy","Desicion by Table Group(TG2015_009)"
"J8499",,"J8499",,,"Before","Interstitial pulmonary disease, unspecified","US created codes 2007",1,2010,2018,"2008-12-17 00:00:00","Lars Age","2018-04-12 00:00:00","Freddy","Desicion by Table Group(TG2015_009)"
"J984",,"J9840",,,"USCreated","Lung disease (acute) (chronic) NOS","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J984",,"J9849",,,"USCreated","Other disorders of lung","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J9840",,"J9840",,,"Before","Lung disease (acute) (chronic) NOS","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"J9849",,"J9849",,,"Before","Other disorders of lung","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K319",,"K3199",,,"USCreated","Disease of stomach and duodenum, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K319",,"K3190",,,"USCreated","Disease stomach NOS","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K3190",,"K3190",,,"Before","Disease stomach NOS","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K3199",,"K3199",,,"Before","Disease of stomach and duodenum, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K550",,"K5500",,,"USCreated","Acute vascular disorders of intestine, embolism","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K550",,"K5509",,,"USCreated","Acute vascular disorders of intestine, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K5500",,"K5500",,,"Before","Acute vascular disorders of intestine, embolism","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K5509",,"K5509",,,"Before","Acute vascular disorders of intestine, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K631",,"K6319",,,"USCreated","Perforation of intestine (nontraumatic), other","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K631",,"K6310",,,"USCreated","Intestinal penetration, unspecified part","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K6310",,"K6310",,,"Before","Intestinal penetration, unspecified part","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K6319",,"K6319",,,"Before","Perforation of intestine (nontraumatic), other","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K720",,"K7209",,,"USCreated","Other conditions classified to K720","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K720",,"K7200",,,"USCreated","Acute hepatic failure","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K7200",,"K7200",,,"Before","Acute hepatic failure","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K7209",,"K7209",,,"Before","Other conditions classified to K720","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K721",,"K7219",,,"USCreated","Other conditions classified to K721","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K721",,"K7210",,,"USCreated","Chronic hepatic failure","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K7210",,"K7210",,,"Before","Chronic hepatic failure","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"K7219",,"K7219",,,"Before","Other conditions classified to K721","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"K729",,"K7290",,,"USCreated","Hepatic failure","US created codes 2007",0,2010,2015,"2005-02-25 00:00:00","Gérard Pavillon","2015-06-17 00:00:00","Freddy","Desicion by MRG(MRG2015_012)"
"K729",,"K7299",,,"USCreated","Other conditions classified to K729","US created codes 2007",0,2010,2015,"2005-02-25 00:00:00","Gérard Pavillon","2015-06-17 00:00:00","Freddy","Desicion by MRG(MRG2015_012)"
"K7290",,"K7290",,,"Before","Hepatic failure","US created codes 2007",0,2010,2015,"2005-02-25 00:00:00","Gérard Pavillon","2015-06-17 00:00:00","Freddy","Desicion by MRG(MRG2015_012)"
"K7299",,"K7299",,,"Before","Other conditions classified to K729","US created codes 2007",1,2010,2015,"2008-12-17 00:00:00","Lars Age","2015-06-17 00:00:00","Freddy","Desicion by MRG(MRG2015_012)"
"M199",,"M1999",,,"USCreated","Arthrosis, unspecified","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-16 00:00:00","Freddy","Desicion by Table Group(TG2017_021)"
"M199",,"M1990",,,"USCreated","Arthrosis, advanced","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-16 00:00:00","Freddy","Desicion by Table Group(TG2017_021)"
"M1990",,"M1990",,,"Before","Arthrosis, advanced","US created codes 2007",0,2010,2018,"2005-02-25 00:00:00","Gérard Pavillon","2018-04-16 00:00:00","Freddy","Desicion by Table Group(TG2017_021)"
"M1999",,"M1999",,,"Before","Arthrosis, unspecified","US created codes 2007",1,2010,2018,"2008-12-17 00:00:00","Lars Age","2018-04-16 00:00:00","Freddy","Desicion by Table Group(TG2017_021)"
"Q278",,"Q2789",,,"USCreated","Other specified congenital malformations of peripheral vascular system","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q278",,"Q2780",,,"USCreated","Congenital aneurysm (peripheral)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2780",,"Q2780",,,"Before","Congenital aneurysm (peripheral)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2789",,"Q2789",,,"Before","Other specified congenital malformations of peripheral vascular system","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"Q282",,"Q2829",,,"USCreated","Other arteriovenous malformation of cerebral vessels","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q282",,"Q2820",,,"USCreated","Congenital arteriovenous cerebral aneurysm (nonruptured)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2820",,"Q2820",,,"Before","Congenital arteriovenous cerebral aneurysm (nonruptured)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2829",,"Q2829",,,"Before","Other arteriovenous malformation of cerebral vessels","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"Q283",,"Q2830",,,"USCreated","Congenital cerebral aneurysm (nonruptured)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q283",,"Q2839",,,"USCreated","Other malformations of cerebral vessels","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2830",,"Q2830",,,"Before","Congenital cerebral aneurysm (nonruptured)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"Q2839",,"Q2839",,,"Before","Other malformations of cerebral vessels","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"R58",,"R5809",,,"USCreated","Hemorrhage, not elsewhere classified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"R58",,"R5800",,,"USCreated","Hemorrhage of unspecified site","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"R5800",,"R5800",,,"Before","Hemorrhage of unspecified site","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"R5809",,"R5809",,,"Before","Hemorrhage, not elsewhere classified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"R99",,"R97",,,"USCreated","Cause unknown (R97)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"R99",,"R999",,,"USCreated","Other ill-defined and unspecified causes of mortality","US created codes 2007",0,2010,9999,"2012-02-24 00:00:00","LAJ",,,"/Created"
"I6399",,"I6399",,,"Before","Cerebral infarction, unspecified","US created codes 2007",1,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created, residue"
