IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I422",,"I4220",,,"USCreated","Other hypertrophic cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4220",,"I4220",,,"Before","Other hypertrophic cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4229",,"I4229",,,"Before","Other hypertrophic cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I425",,"I4259",,,"USCreated","Other restrictive cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I425",,"I4250",,,"USCreated","Other restrictive cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4250",,"I4250",,,"Before","Other restrictive cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4259",,"I4259",,,"Before","Other restrictive cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I428",,"I4289",,,"USCreated","Other cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I428",,"I4280",,,"USCreated","Other cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4280",,"I4280",,,"Before","Other cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4289",,"I4289",,,"Before","Other cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I429",,"I4290",,,"USCreated","Cardiomyopathy, familial, idiopathic or primary but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I429",,"I4299",,,"USCreated","Cardiomyopathy, unspecified, not described as familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4290",,"I4290",,,"Before","Cardiomyopathy, familial, idiopathic or primary but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4299",,"I4299",,,"Before","Cardiomyopathy, unspecified, not described as familial, idiopathic or primary","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I500",,"I5009",,,"USCreated","Congestive heart failure, not described as advanced or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I500",,"I5000",,,"USCreated","Congestive heart failure, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5000",,"I5000",,,"Before","Congestive heart failure, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5009",,"I5009",,,"Before","Congestive heart failure, not described as advanced or similar","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I514",,"I5140",,,"USCreated","Myocarditis, arteriosclerotic","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I514",,"I5149",,,"USCreated","Myocarditis, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5140",,"I5140",,,"Before","Myocarditis, arteriosclerotic","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5149",,"I5149",,,"Before","Myocarditis, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I515",,"I5150",,,"USCreated","Myocardial degeneration, arteriosclerotic","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I515",,"I5159",,,"USCreated","Myocardial degeneration, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5150",,"I5150",,,"Before","Myocardial degeneration, arteriosclerotic","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I5159",,"I5159",,,"Before","Myocardial degeneration, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I600",,"I6009",,,"USCreated","Subarachnoid carotid hemorrhage, other and unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created, residue"
"I600",,"I6000",,,"USCreated","Subarachnoid carotid hemorrhage caused by ruptured carotid aneurysm (into brain)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created, split"
"I6000",,"I6000",,,"Before","Subarachnoid carotid hemorrhage caused by ruptured carotid aneurysm (into brain)","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6009",,"I6009",,,"Before","Subarachnoid carotid hemorrhage, other and unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I606",,"I6060",,,"USCreated","Subarachnoid hemorrhage caused by ruptured aneurysm (congenital) in circle of Willis","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I606",,"I6069",,,"USCreated","Subarachnoid hemorrhage from other intracranial arteries, not ruptured aneurysm in circle of Willis","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6060",,"I6060",,,"Before","Subarachnoid hemorrhage caused by ruptured aneurysm (congenital) in circle of Willis","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6069",,"I6069",,,"Before","Subarachnoid hemorrhage from other intracranial arteries, not ruptured aneurysm in circle of Willis","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I607",,"I6079",,,"USCreated","Subarachnoid hemorrhage from intracranial artery, not ruptured aneurysm","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
