ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
10481,"Z843",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10482,"Z848",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10483,"Z850",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10484,"Z851",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10485,"Z852",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10486,"Z853",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10487,"Z854",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10488,"Z855",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10489,"Z856",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10490,"Z857",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10491,"Z858",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10492,"Z859",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10493,"Z860",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10494,"Z861",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10495,"Z862",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10496,"Z863",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10497,"Z864",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10498,"Z865",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10499,"Z866",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10500,"Z867",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10501,"Z870",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10502,"Z871",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10503,"Z872",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10504,"Z873",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10505,"Z874",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10506,"Z875",,,"F","M","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10507,"Z876",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10508,"Z877",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
