MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
"100Symbol","0020","\\",",",,,,2005,9999,"2009-04-26 00:00:00","weber",,,,,
"100Symbols","0030","[/]",",",,,,2005,9999,"2009-04-26 00:00:00","weber",,,,,
"100Symbols","0040","this is a test","test",,,,2005,9999,"2011-04-02 00:00:00","larjoha",,,,,
"200Cancer","005","\bcancer\sof\sthe\s([a-z]*)","$1 cancer",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"200Cancer","006","\bcancer\sof\s([a-z]*)","$1 cancer",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"200Cancer","010","\bmetastatic\b","m",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"200Cancer","020","\bmetastases\b","metast",,,,2005,9999,"2010-12-10 00:00:00","larjoha",,,,,
"200Cancer","030","\bmetastasis\b","metast",,,,2005,9999,"2010-12-10 00:00:00","larjoha",,,,,
"200Cancer","040","\bmalignant\b","mal",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"201Cancer","010","\bm mal\b","mal m",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"201Cancer","020","\bkaposis\b","kaposi",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"203NeoOther","030","tumour","tumor",,,,2010,2010,"2010-12-14 00:00:00","larjoha",,,,,
"300Plurals","005","([a-z]*)ies\b","$1y",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","010","([a-z]*)sses\b","$1ss",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","020","([a-z]*)xes\b","$1x",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","030","([a-z]*)ches\b","$1ch",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","040","([a-z]*)shes\b","$1sh",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","050","([a-z]*)uses\b","$1us",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","060","([a-z]*)zes\b","$1z",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"300Plurals","070","([a-h,j-r,t,v-z])s\b","$1",,,,2005,9999,"2009-03-25 00:00:00","weber","2009-03-25 00:00:00","Weber",,,
"350Genitive","0040","(\S)'s\b","$1s ",,,,2010,2010,"2010-12-10 00:00:00","larjoha",,,,,
"400Percent","010","(\d)*\s?(%|percent|per cent|mg).*(alcohol|etoh|ethanol)","$3",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"400Percent","020","(alcohol|etoh|ethanol).*(\d)*\s?(%|percent|per cent|mg)","$1",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"600Duration","00010","\bchron[a-z]*\b[.]?","§Chronic§",,,,2005,9999,"2009-03-26 00:00:00","weber","2011-03-04 00:00:00","LAJ",,,
"600Duration","00020","\bact\b[.]?","§Acute§",,,,2005,9999,"2009-03-26 00:00:00","weber","2011-03-04 00:00:00","LAJ",,,
"600Duration","00030","\bacute?\b","§Acute§",,,,2005,9999,"2009-03-26 00:00:00","weber","2011-03-04 00:00:00","LAJ",,,
"600Duration","00050","\bbeginn[a-z]*[.]?","§Acute§",,,,2005,9999,"2009-03-26 00:00:00","weber","2011-03-04 00:00:00","LAJ",,,
"700Flag","0010","\bprimary\b","(P)",,,,2016,9999,"2017-07-13 00:00:00","Iris",,,,,
"800Delete","0001","\bBLAST TRANSFORMATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0002","\brAPIDLY PROGRESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0003","\btHROUGH AND THROUGH\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0004","\bwIDELY DISSEMINATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0005","\brECURRENT EPISODES\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0006","\baCCELERATED PHASE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0007","\baCUTE EXCERBATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0008","\bpOORLY CONTROLLED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0009","\brAPID PROGRESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0010","\bTHROUGH & THROUGH\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","00100","\bunknown\sfocus\b",,,,,2005,9999,"2011-02-03 00:00:00","larjoha",,,,,
"800Delete","0011","\bTYPE UNDETERMINED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0012","\bADVANCED EFFECTS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0013","\bCOMPLICATIONS OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0014","\bLIFE THREATENING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0015","\bnON WORK RELATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0016","\boXYGEN DEPENDENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0017","\bpOSSIBLY RELATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0018","\brECENT EXTENSION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0019","\buNSPECIFIED TYPE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0020","\brESISTANT SIMPLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0021","\baDVANCED STATUS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0022","\bcOMPLICATION OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0023","\bdELAYED EFFECTS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0024","\beXACERBATION OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0025","\beXTENSIVE STAGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0026","\bpOOR CONTROLLED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0027","\brELATED CHANGES\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0028","\bsTATUS PREVIOUS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0029","\buNDER TREATMENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0030","\baDVANCED STATE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0031","\bbLASTIC CRISIS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0032","\bdELAYED EFFECT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0033","\boUT OF CONTROL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0034","\bsINGLE EPISODE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0035","\btERMINAL PHASE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0036","\btERMINAL STAGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0037","\buNCONTROLLABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0038","\baPPROXIMATELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0039","\bcOMPLICATIONS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0040","\bcONTACT RANGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0041","\bdECOMPENSATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0042","\bdECOMPRESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0043","\bfINAL EPISODE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0044","\bhIGH VELOCITY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0045","\blOOSE CONTACT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0046","\bnONRESECTABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0048","\brATHER SEVERE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0049","\bsECOND DEGREE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0050","\biNSTANTANEOUS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0051","\bwELL ADVANCED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0052","\bwIDELY SPREAD\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0053","\buNCOMPENSATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0054","\bbLAST CRISIS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0055","\bcONVALESCENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0056","\bcOMPLICATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0057","\bdECOMPRESSED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0058","\bdIAGNOSIS OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0059","\bdISSEMINATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0060","\beXACERBATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0061","\beXTENSION OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0062","\bfAR ADVANCED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0063","\biN REMISSION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0064","\biNFILTRATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0065","\biNFLAMMATORY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0066","\biNTERMITTENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0067","\biRREVERSIBLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0068","\biRREVERSIBLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0069","\blONGSTANDING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0070","\boVERWHELMING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0071","\bpOOR CONTROL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0072","\bqUESTIONABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0073","\brECENT ONSET\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0074","\btYPE UNKNOWN\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0075","\buNCONTROLLED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0076","\buNIDENTIFIED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0077","\buNKNOWN TYPE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0078","\buNRESECTABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0079","\baCCELERATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0080","\baDULT ONSET\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0081","\bbILATERALLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0082","\bcLOSE RANGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0083","\bcOMBINATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0084","\bcOMPENSATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0085","\bcOMPLICATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0086","\bcOMPRESSION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0087","\bdESTRUCTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0088","\beXCERBATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0089","\bfINAL STAGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0090","\bfULMINATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0091","\bgENERALIZED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0092","\bhIGH OUTPUT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0093","\biNTERRUPTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0094","\biNTRACTABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0095","\blETHAL FORM\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0096","\bmOST LIKELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0097","\bnECROTIZING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0098","\bnONSPECIFIC\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"800Delete","0099","\boBSTRUCTING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0100","\bOBSTRUCTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0101","\bPENETRATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0102","\bPERFORATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0103","\bPRESUMPTION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0104","\bPRESUMPTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0105","\bPRINCIPALLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0106","\bPROGRESSION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0107","\bPROGRESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0108","\bRESTRICTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0109","\bRIGHT SIDED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0110","\bSIGNIFICANT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0111","\bSPONTANEOUS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0112","\bSTATUS POST\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0113","\bSUPERFICIAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0114","\bSUPPURATIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0115","\bSYMPTOMATIC\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0116","\bUNDIAGNOSED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0117","\bUNEXPLAINED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0118","\bUNSPECIFIED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0119","\bUNWITNESSED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0120","\bVERY SEVERE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0121","\bADULT TYPE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0122","\bAGGRESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0123","\bAPPARENTLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0124","\bASSOCIATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0125","\bBORDERLINE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0126","\bCAVITATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0127","\bCLINICALLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0128","\bCOMMINUTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0129","\bCOMPLETELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0130","\bCOMPOUNDED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0131","\bCOMPRESSED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0132","\bCONSISTENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0133","\bCONTROLLED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0134","\bDOCUMENTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
