MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
"801Delete","0135","\bEFFECTS OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0136","\bFULL BLOWN\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0137","\bFUNCTIONAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0138","\bHIGH GRADE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0139","\bINCOMPLETE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0140","\bINCREASING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0141","\bINOPERABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0142","\bLATE ONSET\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0143","\bLATE STAGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0144","\bLEFT SIDED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0145","\bMIXED TYPE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0146","\bmODERATELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0147","\bmULTIFOCAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0148","\bnON Q WAVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0149","\bnOSOCOMIAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0150","\bnOT PROVEN\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0151","\boRGANIZING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0152","\bpERFORATED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0153","\bpERSISTENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0154","\bpRESUMABLE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0155","\bpRESUMABLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0156","\bpREVIOUSLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0157","\bpROTRACTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0158","\brECOVERING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0159","\brECURRENCE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0160","\brEFRACTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0161","\brEFRACTORY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0162","\brEPETITIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0163","\brEPORTEDLY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0164","\brETRACTILE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0165","\brIGHT SIDE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0166","\bsMOLDERING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0167","\bsTAGE D 11\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0168","\bsTAGE IV B\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0169","\bsTAGE FIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0170","\bsTAGE FOUR\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0171","\bsTAGE IIIB\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0172","\bsUBSEQUENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0173","\btRANSVERSE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0174","\buLCERATING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0175","\buNBALANCED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0176","\buNEXPECTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0177","\bwIDESPREAD\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0178","\b1ST DEGREE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0179","\b2ND DEGREE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0180","\b3RD DEGREE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0181","\baSCENDING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0182","\baTTEMPTED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0183","\bbILATERAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0184","\bcLASSICAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0185","\bcOMPLETED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0186","\bcONTAINED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0187","\bcONTINOUS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0188","\bdEPRESSED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0189","\bdIAGNOSIS\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0190","\bdIFFUSELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0191","\bdISPLACED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0192","\bdWINDLING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0193","\beFFECT OF\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0194","\beMERGENCY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0195","\beND STAGE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0196","\beND STATE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0197","\beNLARGING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0198","\beXCESSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"801Delete","0199","\beXPANDING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0200","\beXTENSION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0201","\beXTENSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0202","\beXTREMELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0203","\bfORMATION\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0204","\bfULMINANT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0205","\bgRADE III\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0206","\biMMEDIATE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0207","\biMPENDING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0208","\biNCREASED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0209","\biNFECTIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0210","\blEFT SIDE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0211","\blOCALIZED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0212","\blONG TERM\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0213","\blONG TIME\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0214","\blOW GRADE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0215","\bmASSIVELY\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0216","\bnEW ONSET\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0217","\bnOCTURNAL\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0218","\boCCLUSIVE\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0219","\bpOSTERIOR\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0220","\bpROLONGED\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0221","\brECURRENT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0222","\brECURRING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0223","\brELAPSING\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"802Delete","0224","\brESISTANT\b",,,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
