Icd,Label,Asterisk,AffectedByInterval,AffectedByStatus,NationalExtension,ActionVar,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"A082","Adenoviral enteritis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A083","Other viral enteritis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A084","Viral intestinal infection, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A085","Other specified intestinal infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A090","Other and unspecified gastroenteritis and colitis of infectious origin",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A099","Gastroenteritis and colitis of unspecified origin",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A150","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A151","Tuberculosis of lung, confirmed by culture only",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A152","Tuberculosis of lung, confirmed histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A153","Tuberculosis of lung, confirmed by unspecified means",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A154","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A155","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A156","Tuberculous pleurisy, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A157","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A158","Other respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A159","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A160","Tuberculosis of lung, bacteriologically and histologically negative",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A161","Tuberculosis of lung, bacteriological and histological examination not done",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A162","Tuberculosis of lung, without mention of bacteriological or histological confirmation",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A163","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
