id,label,code,source
2FDAACFA170A6C81,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A155,SpecV2021SR40
1189ADBD72E2B3E1,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A156,SpecV2021SR40
10761ABC31403B53,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A157,SpecV2021SR40
96547BA696E66C0C,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A158,SpecV2021SR40
3A32D316098DFCEA,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A159,SpecV2021SR40
BF3208524DE63616,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16,SpecV2021SR40
1FBB23FF2F48D7CE,"Tuberculosis of lung, bacteriologically and histologically negative",A160,SpecV2021SR40
16942EF1946350BB,"Tuberculosis of lung, bacteriological and histological examination not done",A161,SpecV2021SR40
2921CED9E90F3C39,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A162,SpecV2021SR40
755FEBCFBABF5E6A,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A163,SpecV2021SR40
73ECF8D2B9858C5C,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A164,SpecV2021SR40
5028B34B070938C1,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A165,SpecV2021SR40
572067A2CE0D9962,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A167,SpecV2021SR40
8710181AB3A19357,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A168,SpecV2021SR40
4DE1105A6E02ECB7,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A169,SpecV2021SR40
AA83C18BFFE16BC7,"Tuberculosis, unspecified, not described as respiratory or pulmonary",A1690,SpecV2021SR40
E48BF60F0845E256,"Tuberculosis, unspecified, described as respiratory or pulmonary",A1699,SpecV2021SR40
F453B2D1C32C4F89,Tuberculosis of nervous system,A17,SpecV2021SR40
255A593CAC1F94A6,Tuberculous meningitis,A170,SpecV2021SR40
E9DAE010D6186BA2,Meningeal tuberculoma,A171,SpecV2021SR40
CAED342691C894F9,Other tuberculosis of nervous system,A178,SpecV2021SR40
B9341649B09670A4,"Tuberculosis of nervous system, unspecified",A179,SpecV2021SR40
305A0BDCD61C7750,Tuberculosis of other organs,A18,SpecV2021SR40
E8B531CACF434537,Tuberculosis of bones and joints,A180,SpecV2021SR40
8F930CCAB4442D16,Tuberculosis of genitourinary system,A181,SpecV2021SR40
DD2AA30FCD4D87B8,Tuberculous peripheral lymphadenopathy,A182,SpecV2021SR40
A0447A1357612EF2,"Tuberculosis of intestines, peritoneum and mesenteric glands",A183,SpecV2021SR40
108D475EA398E125,Tuberculosis of skin and subcutaneous tissue,A184,SpecV2021SR40
12816C57D5837739,Tuberculosis of eye,A185,SpecV2021SR40
902C8DD229092858,Tuberculosis of ear,A186,SpecV2021SR40
B1D9DF3904744CC9,Tuberculosis of adrenal glands,A187,SpecV2021SR40
7E86EE91C31F5379,Tuberculosis of other specified organs,A188,SpecV2021SR40
36B41041A01FDDF9,Miliary tuberculosis,A19,SpecV2021SR40
E24AB14A31523A65,Acute miliary tuberculosis of a single specified site,A190,SpecV2021SR40
ED032EDCA9A7A9E4,Acute miliary tuberculosis of multiple sites,A191,SpecV2021SR40
013902CF80CD2AF4,"Acute miliary tuberculosis, unspecified",A192,SpecV2021SR40
60B557D3FD67BBC7,Other miliary tuberculosis,A198,SpecV2021SR40
E2E55CDC817E489A,"Miliary tuberculosis, unspecified",A199,SpecV2021SR40
3172E6E7DD78B5E1,Plague,A20,SpecV2021SR40
5C8B3BEB889EC1D8,Bubonic plague,A200,SpecV2021SR40
088913329578AA9F,Cellulocutaneous plague,A201,SpecV2021SR40
347425A2E81ED08A,Pneumonic plague,A202,SpecV2021SR40
6D19DE3E6BA4C80E,Plague meningitis,A203,SpecV2021SR40
80A7FFB2459F8DC7,Septicaemic plague,A207,SpecV2021SR40
