id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
a9d5e776-879a-406c-858d-c51b737f172d,Pneumococcal hydrohaematopneumothorax,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
bbcb6d41-238e-48f6-8467-ebe8fda887d9,Pneumococcal hydrohaematopx,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
96f99730-615e-4c85-89e0-15c7b5b6c3a1,Pneumococcal hydrohematopneumothorax,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
a74d7fd8-5b5b-4445-b986-cbefea83beeb,Pneumococcal hydrohematopx,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
646ac909-a063-42c1-bf69-2aa5b83ff435,Pneumococcal hydropericarditis,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
086f3315-a16a-4904-982f-095a7cf61325,Pneumococcal hydropericardium,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
e5fa58c2-a927-42f2-a2d9-336849cdc6ba,Pneumococcal hydropneumohaemothorax,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
d535f587-ae54-4bf9-be57-d523802d6df2,Pneumococcal hydropneumohemothorax,J942,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
56150e53-0c8d-4d82-992c-4439fc61078f,Pneumococcal hydropneumopericarditis,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
29873f9f-d021-4912-b03d-8bda40f9fa0c,Pneumococcal hydropneumopericardium,I301,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
de793043-d587-482e-92ce-3a74c05b4005,Pneumococcal hydropneumothorax,J948,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
4eb5fd31-48b8-4efc-9e6c-4c4b081ebca4,Pneumococcal hydropx,J948,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
