id,name,partOf,locationType
2OKicPQMNI,SPC Mortality Coding Portal Office,Location/rF9kLmT2qXvH7zNcP4aYsD,CRVS_OFFICE
JEhYJ82xRI,Fiji Office,Location/67sSu3vWKw3obyFK77CqrM,CRVS_OFFICE
JWMRGwDBXK,Niue Office,Location/6XAFs8AMJeb6ejHavyUtWH,CRVS_OFFICE
HKASqwkASD,Tuvalu Office,Location/edXhJEEXiQ8KpXV6GgTuPL,CRVS_OFFICE
eaBXhNiLMp,Tonga Office,Location/cEBbfkFGyjT2WLTUAhoP6Y,CRVS_OFFICE
okQp4uKCz0,Kiribati Office,Location/xspzoXJxqZb9Z5mkN7dafy,CRVS_OFFICE
R5n2eHaSpB,Palau Office,Location/rbMrnFtEGeGirjH7djprjc,CRVS_OFFICE
GzanivmNaP,Nauru Office,Location/gLSKTowCNDLoXJJufE2TCr,CRVS_OFFICE
